"INSTNM","CONTROL","UGDS","PRICE","SAT_AVG_ALL","PCTPELL","PCTFLOAN","MD_EARN_WNE_P10","GRAD_DEBT_MDN_SUPP"
"Roosevelt University","nonprofit",3727,23817,1050,0.4371,0.7253,44700,23562.5
"Dominican University","nonprofit",2149,16172,1029,0.4274,0.6491,42600,25000
"University of St Francis","nonprofit",1732,17059,1064,0.3404,0.6871,45200,25000
"Saint Xavier University","nonprofit",2940,16064,1008,0.5048,0.7531,43200,24250
"University of Illinois at Springfield","public",2969,9544,1081,0.3679,0.5406,42600,19500
"Southern Illinois University-Carbondale","public",13171,16247,1055,0.433,0.6092,41200,22250
"Southern Illinois University-Edwardsville","public",11371,16725,1070,0.3621,0.5999,39800,21875
"Trinity Christian College","nonprofit",1237,19735,1080,0.3548,0.7149,41700,26196.5
"Trinity International University-Illinois","nonprofit",857,20535,1062,0.4891,0.8802,38100,27000
"Western Illinois University","public",9645,17988,970,0.4444,0.703,41100,24091
"Wheaton College","nonprofit",2402,23900,1311,0.2013,0.4926,42500,22500
"Anderson University","nonprofit",1831,23220,1048,0.2118,0.4688,35600,27000
"Ball State University","public",15895,15141,1066,0.3399,0.5917,38800,25000
"Butler University","nonprofit",4013,30814,1205,0.1649,0.5742,55000,27000
"DePauw University","nonprofit",2185,22872,1213,0.1944,0.5551,47700,25000
"University of Evansville","nonprofit",2266,20340,1144,0.256,0.5252,40600,26450
"Franklin College","nonprofit",1022,21553,1031,0.3895,0.7722,40800,27000
"Goshen College","nonprofit",746,17869,1109,0.308,0.599,37800,20671
"Grace College and Theological Seminary","nonprofit",1478,19006,1110,0.3003,0.569,34900,22375
"Hanover College","nonprofit",1136,20619,1101,0.3233,0.6767,41900,27000
"Holy Cross College","nonprofit",512,15157,969,0.3602,0.6462,35900,25000
"Huntington University","nonprofit",1001,17752,1034,0.3685,0.7284,34400,26745
"Indiana University-Purdue University-Fort Wayne","public",9314,13638,1002,0.3262,0.4363,35200,25500
"Indiana University-Purdue University-Indianapolis","public",21777,13007,1010,0.3728,0.5126,40200,24147.5
"University of Indianapolis","nonprofit",4136,22159,1018,0.3638,0.6441,41400,27000
"Indiana Institute of Technology","nonprofit",6397,23757,965,0.6482,0.8513,40800,27013.5
"University of Southern Indiana","public",8233,13601,1001,0.3225,0.5255,34900,22866
"Indiana State University","public",10497,11920,913,0.4471,0.6253,36000,23713
"Indiana University-Kokomo","public",2724,9989,934,0.3075,0.3552,34100,19052
"Indiana University-South Bend","public",5398,10377,942,0.3377,0.3827,33400,25537
"Indiana University-Bloomington","public",32252,14370,1198,0.1643,0.3183,44700,23000
"Indiana University-Northwest","public",4370,8951,916,0.3113,0.3804,36200,27000
"Indiana University-Southeast","public",5476,10970,959,0.3248,0.3936,34000,22500
"Indiana University-East","public",3200,9015,943,0.3239,0.3786,30000,21172
"Manchester University","nonprofit",1254,20425,1000,0.3678,0.9283,37600,27000
"Marian University","nonprofit",1999,19367,1036,0.2796,0.7099,42300,27000
"Indiana Wesleyan University-Marion","nonprofit",10218,24965,1081,0.3816,0.7019,46300,24160
"University of Notre Dame","nonprofit",8427,29368,1450,0.1118,0.3997,70100,21250
"Oakland City University","nonprofit",616,19179,960,0.1238,0.1441,34000,16973
"Purdue University-Calumet Campus","public",7316,12009,965,0.3106,0.4137,37600,22028
"Purdue University-North Central Campus","public",3231,10104,959,0.257,0.3515,36000,25000
"Rose-Hulman Institute of Technology","nonprofit",2208,34531,1308,0.1732,0.5465,79200,27000
"University of Saint Francis-Fort Wayne","nonprofit",1796,17231,981,0.4187,0.7798,39200,25750
"Saint Josephs College","nonprofit",1074,15731,996,0.2813,0.5635,40200,27000
"Saint Mary-of-the-Woods College","nonprofit",678,14259,943,0.4953,0.7343,31600,28000
"Saint Mary's College","nonprofit",1508,23855,1144,0.2082,0.6119,46500,27000
"Saint Elizabeth School of Nursing","nonprofit",281,26213,943,0.5762,0.8996,48200,31250
"Taylor University","nonprofit",1855,24663,1184,0.1803,0.4497,36500,24500
"Trine University","nonprofit",1654,22126,1078,0.2279,0.5934,40500,26000
"Valparaiso University","nonprofit",3210,20431,1155,0.2445,0.5829,49000,27000
"Wabash College","nonprofit",923,24206,1128,0.2495,0.6703,52600,25000
"Briar Cliff University","nonprofit",964,17894,1005,0.4549,0.7975,38100,24000
"Buena Vista University","nonprofit",1892,18394,1047,0.4911,0.8195,38300,23877.5
"Central College","nonprofit",1333,19158,1101,0.2547,0.7035,41800,27000
"Clarke University","nonprofit",933,23216,1029,0.3867,0.7745,41000,26000
"Coe College","nonprofit",1363,22577,1146,0.272,0.7118,42400,27000
"Cornell College","nonprofit",1082,20732,1200,0.3431,0.6924,40900,27000
"Dordt College","nonprofit",1343,22907,1100,0.2892,0.6337,38100,23250
"Drake University","nonprofit",3290,26387,1239,0.1688,0.5211,55700,24500
"University of Dubuque","nonprofit",1764,22143,941,0.4931,0.8294,37700,26000
"Emmaus Bible College","nonprofit",216,16640,1018,0.5294,0.5187,31000,17000
"Faith Baptist Bible College and Theological Seminary","nonprofit",232,14434,1004,0.5371,0.476,29800,17500
"Graceland University-Lamoni","nonprofit",1415,17611,938,0.4285,0.728,36300,24900
"Grand View University","nonprofit",1977,18266,967,0.4318,0.813,40200,23848.5
"Grinnell College","nonprofit",1670,18769,1398,0.2359,0.4126,43100,10876.5
"Iowa State University","public",28336,14100,1145,0.2184,0.5224,47800,24365
"Iowa Wesleyan University","nonprofit",473,19906,990,0.4624,0.8314,33700,25538
"University of Iowa","public",21486,14863,1164,0.1883,0.4554,49100,21612
"Loras College","nonprofit",1468,19159,1088,0.2246,0.6911,42000,27000
"Luther College","nonprofit",2326,24321,1157,0.1845,0.6687,41800,27000
"Morningside College","nonprofit",1293,21200,1065,0.3568,0.7833,40000,27000
"Mount Mercy University","nonprofit",1417,18573,1030,0.3516,0.7405,42800,23489.5
"University of Northern Iowa","public",9882,14980,1050,0.2598,0.5998,42000,21039
"Northwestern College","nonprofit",1113,20832,1103,0.2944,0.6894,37600,25962.5
"Saint Ambrose University","nonprofit",2675,24780,1050,0.257,0.685,44900,26000
"Simpson College","nonprofit",1644,20907,1125,0.2868,0.7342,43500,27000
"Upper Iowa University","nonprofit",4304,18762,950,0.468,0.6477,40700,21250
"Waldorf College","forprofit",1356,20580,913,0.5687,0.887,35000,20760.5
"Wartburg College","nonprofit",1614,21827,1100,0.231,0.6844,43000,27000
"Baker University","nonprofit",1649,16333,1059,0.3774,0.7296,48800,25250
"Benedictine College","nonprofit",1836,21951,1120,0.2073,0.5367,39600,26000
"Bethany College","nonprofit",637,15663,969,0.3988,0.1533,38100,27000
"Bethel College-North Newton","nonprofit",483,18822,1000,0.4295,0.749,37900,26050
"Central Christian College of Kansas","nonprofit",985,13815,966,0.3944,0.4874,31600,23375
"Emporia State University","public",3777,13970,1009,0.3979,0.6347,35700,20848
"Friends University","nonprofit",1339,17213,1029,0.4574,0.7495,41500,24500
"University of Kansas","public",18802,18434,1145,0.2216,0.4456,44800,19793
"Newman University","nonprofit",1182,13747,1076,0.1771,0.2723,42300,20216.5
"Kansas Wesleyan University","nonprofit",643,20901,1059,0.4191,0.7776,36400,25000
"Manhattan Christian College","nonprofit",289,18967,1030,0.3242,0.6667,33400,19822.5
"McPherson College","nonprofit",619,19687,1005,0.449,0.8116,37100,25000
"MidAmerica Nazarene University","nonprofit",1322,17211,1010,0.3686,0.6516,39500,17010
