"INSTNM","CONTROL","UGDS","PRICE","SAT_AVG_ALL","PCTPELL","PCTFLOAN","MD_EARN_WNE_P10","GRAD_DEBT_MDN_SUPP"
"Bethel University","nonprofit",4638,19311,930,0.6071,0.7646,36200,25053
"Bryan College-Dayton","nonprofit",1124,15239,1065,0.37,0.52,34300,18625
"Carson-Newman University","nonprofit",1701,13429,1083,0.3965,0.6525,36300,24648
"Christian Brothers University","nonprofit",1292,8390,1105,0.4193,0.6473,45900,26500
"Cleveland State Community College","public",2734,4688,910,0.4454,0.2915,27600,10000
"Cumberland University","nonprofit",1167,18316,1044,0.368,0.6438,38200,21875
"Lipscomb University","nonprofit",2875,22410,1175,0.2543,0.5391,38000,20500
"East Tennessee State University","public",11162,14800,1030,0.4331,0.514,34800,20000
"Fisk University","nonprofit",721,22012,946,0.581,0.7218,32500,27000
"Freed-Hardeman University","nonprofit",1310,16834,1117,0.3249,0.5704,36100,26000
"Hiwassee College","nonprofit",257,12974,843,0.4781,0.5082,26600,12500
"Johnson University","nonprofit",886,14298,1017,0.5265,0.5855,28900,20199
"King University","nonprofit",2344,17708,1042,0.4595,0.6876,38400,21260
"Lane College","nonprofit",1262,11730,762,0.2432,0.2458,24700,33170
"Lee University","nonprofit",4117,15394,1076,0.3719,0.5286,33200,27723.5
"Lincoln Memorial University","nonprofit",1622,12253,1055,0.5073,0.5628,36800,18000
"Maryville College","nonprofit",1213,15703,1049,0.4486,0.7192,34700,27000
"Memphis College of Art","nonprofit",365,19059,1025,0.5806,0.7688,26400,33125
"University of Memphis","public",16093,12661,1029,0.4663,0.6173,35700,25250
"Middle Tennessee State University","public",19928,11174,1032,0.4473,0.5668,35900,21743
"Milligan College","nonprofit",880,17107,1097,0.3505,0.5838,35700,23500
"O'More College of Design","nonprofit",169,22024,1050,0.3611,0.5944,30500,27250
"Rhodes College","nonprofit",2007,25909,1296,0.1357,0.3518,51800,27000
"Roane State Community College","public",4626,7929,910,0.4524,0.2057,27600,9722
"Tennessee Wesleyan College","nonprofit",981,12689,1002,0.4803,0.6704,36200,18750
"The University of Tennessee-Chattanooga","public",10213,12404,1088,0.3418,0.6145,36100,20090.5
"The University of Tennessee-Knoxville","public",21396,15949,1198,0.3005,0.4306,42300,19998.5
"The University of Tennessee-Martin","public",6387,7944,1050,0.4794,0.555,35600,24109
"Tennessee Technological University","public",10039,13203,1105,0.3621,0.4506,36600,15587
"Tennessee Temple University","nonprofit",496,13297,962,0.7708,0.685,30900,24500
"Trevecca Nazarene University","nonprofit",1609,18124,1066,0.4042,0.6816,39200,19500
"Tusculum College","nonprofit",1746,17710,990,0.5884,0.7674,37700,28000
"Union University","nonprofit",2441,24077,1170,0.2767,0.5188,39500,25000
"Vanderbilt University","nonprofit",6818,17135,1481,0.1431,0.1356,60700,13000
"Abilene Christian University","nonprofit",3572,22705,1091,0.2595,0.5527,40200,25985
"Angelo State University","public",5290,12717,976,0.4068,0.5279,37700,21319.5
"Austin College","nonprofit",1272,21498,1159,0.2867,0.7581,47800,26000
"Baylor University","nonprofit",13801,32741,1227,0.2135,0.452,48200,25131
"Concordia University-Texas","nonprofit",1525,21195,1021,0.4076,0.6538,39900,25680.5
"Texas A & M University-Corpus Christi","public",9074,14165,970,0.4094,0.5399,41200,23000
"Dallas Baptist University","nonprofit",3357,23705,1075,0.294,0.63,42400,22638
"Dallas Christian College","nonprofit",309,19673,996,0.6044,0.9715,37500,27121
"University of Dallas","nonprofit",1324,25093,1211,0.2087,0.5051,44800,23250
"East Texas Baptist University","nonprofit",1183,18495,952,0.4565,0.7207,37100,26000
"Texas A & M University-Texarkana","public",1386,6637,897,0.4454,0.4604,34400,12500
"Texas A & M University-Commerce","public",7358,9263,909,0.4958,0.5928,36900,20250
"Hardin-Simmons University","nonprofit",1576,19850,1037,0.3256,0.5547,38700,25864
"Houston Baptist University","nonprofit",2279,20075,1054,0.4896,0.5749,44000,25000
"University of Houston-Downtown","public",13662,7150,894,0.4655,0.4155,42500,19003
"University of Houston","public",31643,13028,1139,0.3849,0.4068,48900,19702.5
"Howard Payne University","nonprofit",1037,18245,976,0.4527,0.6845,34600,25125
"University of the Incarnate Word","nonprofit",6325,19401,963,0.4084,0.6087,43300,27000
"Lamar University","public",9043,14319,963,0.442,0.5428,39500,22486
"Texas A & M International University","public",6706,4569,906,0.5567,0.3935,43200,14929
"LeTourneau University","nonprofit",2015,20426,1177,0.3839,0.5701,48300,28000
"Lubbock Christian University","nonprofit",1406,19633,1010,0.3625,0.7838,37400,23628.5
"University of Mary Hardin-Baylor","nonprofit",3039,22622,1064,0.4176,0.6703,41200,25851.5
"McMurry University","nonprofit",953,18541,901,0.4728,0.6601,37500,25000
"Midwestern State University","public",5142,10823,995,0.3765,0.518,38900,22500
"University of North Texas","public",29758,10856,1090,0.3695,0.5265,42300,20000
"Northwood University-Texas","nonprofit",277,13972,981,0.4985,0.8133,43200,22750
"Our Lady of the Lake University","nonprofit",1556,18167,941,0.5839,0.7852,37200,25000
"The University of Texas Rio Grande Valley","public",17811,2840,953,0.6297,0.3816,39600,12036.5
"Paul Quinn College","nonprofit",272,12655,1070,0.7531,0.7819,27100,38125
"Prairie View A & M University","public",6905,9583,850,0.6559,0.7812,34100,28554
"Rice University","nonprofit",3888,16466,1460,0.1652,0.1682,64500,9641.5
"Saint Edward's University","nonprofit",3991,19358,1116,0.3358,0.56,44200,25000
"University of St Thomas","nonprofit",1563,19131,1111,0.3391,0.4218,47800,23823
"Sam Houston State University","public",16819,12237,1000,0.4279,0.5782,41100,22208
"Schreiner University","nonprofit",1001,20218,997,0.43,0.8291,36400,25000
"St Mary's University","nonprofit",2309,18059,1033,0.5328,0.6657,45600,27000
"Southern Methodist University","nonprofit",6340,32128,1316,0.1597,0.3127,54600,22500
"Southwestern University","nonprofit",1536,23663,1159,0.2821,0.5388,47400,26278
"Stephen F Austin State University","public",10692,19556,998,0.4157,0.5944,39100,25000
"Texas State University","public",32177,13363,1032,0.3514,0.5268,43400,21358.5
"Southwestern Adventist University","nonprofit",726,17671,905,0.5089,0.6709,38600,25000
"Sul Ross State University","public",2018,10925,890,0.5742,0.5472,37800,15250
"Tarleton State University","public",10214,15210,961,0.4143,0.5521,40600,20500
"Texas A & M University-Kingsville","public",8815,11924,922,0.5027,0.5997,38800,20000
"Texas A & M University-College Station","public",46941,11315,1206,0.2183,0.332,53900,19000
"The University of Texas at Arlington","public",29616,13790,1053,0.4003,0.5824,45900,18750
"The University of Texas at Austin","public",38914,17152,1296,0.2602,0.3818,53000,22159.5
"The University of Texas at Dallas","public",14300,12050,1259,0.3553,0.5309,49700,19000
"The University of Texas at Tyler","public",5550,13016,1051,0.347,0.4344,42200,18345
"Texas Christian University","nonprofit",8600,32932,1207,0.1288,0.3116,50000,22000
"Texas Lutheran University","nonprofit",1270,16637,1020,0.4,0.7111,43900,27000
"The University of Texas of the Permian Basin","public",3311,6900,963,0.1915,0.2108,42600,13750
"The University of Texas at San Antonio","public",23815,11867,1037,0.4324,0.5219,43100,23348
"Texas Southern University","public",6880,18023,812,0.6711,0.7206,30500,31000
"Texas Tech University","public",28278,15315,1110,0.2794,0.481,47500,22500
"Texas Wesleyan University","nonprofit",1676,22911,984,0.4668,0.5361,41300,25000
"Texas Woman's University","public",9327,8855,953,0.4533,0.5573,44600,20000
"Trinity University","nonprofit",2223,23781,1281,0.1555,0.3799,54000,21967
"Wayland Baptist University","nonprofit",3716,16452,946,0.3389,0.8171,40300,18875
"West Texas A & M University","public",7121,12028,970,0.3884,0.5287,39800,21374
"Brigham Young University-Provo","nonprofit",27163,12718,1290,0.3702,0.1921,57200,11000
"Brigham Young University-Hawaii","nonprofit",2522,11695,1110,0.2415,0.1749,41500,8291
"Southern Utah University","public",5514,12951,1063,0.3943,0.3447,38100,13237
"Utah State University","public",21087,11814,1067,0.3626,0.3317,42200,13000
"University of Utah","public",22804,13874,1131,0.3092,0.3394,49500,15000
"Westminster College","nonprofit",2188,22910,1122,0.2357,0.6222,46300,25000
"Castleton University","public",1890,17171,967,0.2938,0.6399,34900,25000
"Champlain College","nonprofit",2918,31992,1150,0.255,0.628,39900,27000
"Johnson State College","public",1363,14669,941,0.2813,0.4287,31500,26000
"Lyndon State College","public",1266,14469,937,0.311,0.5668,32800,27000
"Middlebury College","nonprofit",2498,22114,1379,0.1134,0.2361,55100,17500
"Norwich University","nonprofit",2584,26398,1053,0.2586,0.6445,46800,27000
"Southern Vermont College","nonprofit",441,21957,849,0.4625,0.8375,34800,24750
"University of Vermont","public",9958,15838,1191,0.1844,0.4617,43900,21614.5
"Averett University","nonprofit",836,21361,923,0.512,0.7879,42400,25000
"Bluefield College","nonprofit",897,19828,907,0.454,0.6989,40000,18873
"Bridgewater College","nonprofit",1768,18892,1056,0.2754,0.7348,40800,27000
"College of William and Mary","public",6256,17194,1373,0.1162,0.2887,55000,19500
"Regent University","nonprofit",2273,16797,1066,0.49,0.7554,40400,25000
"Christopher Newport University","public",5084,21532,1152,0.1631,0.5033,42500,25000
"Emory & Henry College","nonprofit",997,17092,995,0.36,0.7105,38600,27000
"Eastern Mennonite University","nonprofit",1198,20982,1003,0.3218,0.7272,37500,21700
"Ferrum College","nonprofit",1447,20054,852,0.5787,0.9021,36400,27000
"George Mason University","public",21678,18738,1152,0.2523,0.4349,57300,20000
"Hampden-Sydney College","nonprofit",1105,27751,1098,0.2,0.5907,49700,26848.5
"Hampton University","nonprofit",3456,26326,999,0.38,0.7469,41200,27000
"Hollins University","nonprofit",588,19976,1082,0.4069,0.6914,32100,27000
"James Madison University","public",18697,18412,1153,0.1394,0.3824,52600,20500
"Liberty University","nonprofit",49340,23706,1040,0.4984,0.6648,35600,23250
"Longwood University","public",4400,18457,1005,0.2497,0.5388,39600,24588.5
"Lynchburg College","nonprofit",2079,22072,998,0.3352,0.7227,41400,27000
"Mary Baldwin College","nonprofit",1296,16377,979,0.5753,0.8001,36200,27500
"University of Mary Washington","public",4101,20595,1114,0.1583,0.4397,48500,22247.5
"Marymount University","nonprofit",2343,24796,1001,0.2654,0.5664,49900,25000
"Norfolk State University","public",5284,11920,866,0.6139,0.8037,33100,31000
"Old Dominion University","public",19842,13067,1007,0.35,0.5588,42500,23178.5
"Radford University","public",8843,16560,968,0.2896,0.599,42200,21500
"Randolph-Macon College","nonprofit",1377,25182,1086,0.2488,0.704,44700,27000
"Randolph College","nonprofit",658,20456,1086,0.2932,0.7759,38500,27000
"University of Richmond","nonprofit",3223,24859,1337,0.1916,0.3969,59900,19935
"Roanoke College","nonprofit",1986,27088,1087,0.2499,0.6994,44000,27000
"Shenandoah University","nonprofit",1875,27360,994,0.2223,0.6791,39400,25000
"Southern Virginia University","nonprofit",703,19985,1056,0.5325,0.6112,31300,24185
"Sweet Briar College","nonprofit",561,23355,1056,0.2546,0.5405,39400,25500
"The University of Virginia's College at Wise","public",1477,11578,946,0.3841,0.4203,36500,20844.5
"Virginia Polytechnic Institute and State University","public",24191,19691,1215,0.1737,0.4222,59000,24250
"Virginia Commonwealth University","public",22280,20723,1105,0.2856,0.5099,41400,24151
"University of Virginia-Main Campus","public",15515,17863,1357,0.1256,0.2506,60100,19633
"Virginia Military Institute","public",1700,17296,1162,0.1463,0.4579,59200,24100
"Virginia State University","public",4481,14337,837,0.7067,0.8366,33800,28685.5
"Virginia Union University","nonprofit",1322,19483,776,0.7233,0.8675,31000,33450
"Virginia Wesleyan College","nonprofit",1492,22883,991,0.3914,0.6827,37000,27000
"Washington and Lee University","nonprofit",1880,24655,1395,0.0965,0.2199,72900,21500
"Central Washington University","public",9751,14182,978,0.3634,0.5459,44500,21500
"Eastern Washington University","public",12402,12619,958,0.3829,0.5201,41000,20800
"The Evergreen State College","public",3802,12971,1043,0.458,0.5332,32800,17264
"Gonzaga University","nonprofit",4754,28669,1207,0.1832,0.5155,53000,25500
"Northwest University","nonprofit",1453,19560,1018,0.379,0.6787,37700,23724.5
"Pacific Lutheran University","nonprofit",2874,24014,1115,0.2864,0.6671,46400,26800
"University of Puget Sound","nonprofit",2550,37400,1230,0.1906,0.5185,49400,23500
"Saint Martin's University","nonprofit",1316,19717,1057,0.3655,0.5623,45100,24887
"Seattle Pacific University","nonprofit",3253,25913,1140,0.3036,0.6569,45000,25000
"Seattle University","nonprofit",4415,32996,1183,0.2083,0.5347,55800,25000
"Walla Walla University","nonprofit",1639,23107,1075,0.296,0.5907,45500,27000
"Washington State University","public",23585,16864,1030,0.3379,0.487,47500,20500
"University of Washington-Seattle Campus","public",29468,13566,1206,0.2538,0.3214,53700,15797
"Western Washington University","public",14054,16551,1110,0.2556,0.467,43600,19500
"Whitman College","nonprofit",1480,29549,1323,0.1097,0.3835,43800,17500
"Alderson Broaddus University","nonprofit",1024,17311,990,0.48,0.8945,46000,27000
"Appalachian Bible College","nonprofit",196,13585,1007,0.4388,0.277,28700,9300
"Bethany College","nonprofit",716,20993,906,0.4762,0.8514,39800,28549.5
"Bluefield State College","public",1529,8908,927,0.5633,0.5987,28300,19500
"University of Charleston","nonprofit",1513,17841,988,0.4141,0.6501,42100,21940
"Concord University","public",2234,7478,999,0.4964,0.7187,32100,21200
"Davis & Elkins College","nonprofit",839,16854,986,0.4188,0.6579,35000,23840.5
"Fairmont State University","public",3699,8756,965,0.4699,0.6256,33400,22529.5
"Glenville State College","public",1378,14667,900,0.3638,0.4357,29300,26000
"Marshall University","public",8871,9149,1021,0.4321,0.593,33800,22705
"Ohio Valley University","nonprofit",387,15531,944,0.4691,0.7358,32600,23250
"Potomac State College of West Virginia University","public",1310,7753,1065,0.503,0.5205,43400,23969
"Shepherd University","public",3489,10178,999,0.3321,0.5564,37600,22478
"West Virginia State University","public",2237,7176,942,0.455,0.5362,29300,23250
"West Liberty University","public",2264,12100,965,0.3898,0.5996,33500,24915
"West Virginia University Institute of Technology","public",1115,7947,1065,0.4092,0.5237,43400,23969
"West Virginia Wesleyan College","nonprofit",1375,17718,1005,0.335,0.6628,40600,26000
"West Virginia University","public",21945,10305,1065,0.2584,0.5209,43400,23969
"Wheeling Jesuit University","nonprofit",1131,18451,1032,0.2398,0.678,43400,27000
"Alverno College","nonprofit",1689,16835,930,0.6096,0.8743,37100,32606.5
"Bellin College","nonprofit",305,25605,1050,0.2517,0.6818,54900,15250
"Cardinal Stritch University","nonprofit",2304,17781,1003,0.4278,0.7356,48500,27000
"Carroll University","nonprofit",2934,22858,1090,0.2709,0.7137,41300,27000
"Carthage College","nonprofit",2835,29377,1104,0.278,0.8106,43200,27000
"Concordia University-Wisconsin","nonprofit",4280,22884,1089,0.3452,0.6672,41200,23476
"Edgewood College","nonprofit",1863,21535,1048,0.3338,0.7513,42000,26000
"Lakeland College","nonprofit",2232,20575,949,0.3402,0.645,40200,26915
"Marian University","nonprofit",1588,18776,950,0.3963,0.7281,37900,26798
"Marquette University","nonprofit",8212,30452,1220,0.1623,0.4881,56000,27000
"Milwaukee School of Engineering","nonprofit",2592,20950,1243,0.2712,0.6962,65800,27000
"Mount Mary University","nonprofit",716,13333,930,0.4914,0.8089,38800,28134
"Northland College","nonprofit",575,18618,1085,0.4076,0.7953,32500,27000
"Ripon College","nonprofit",820,18325,1108,0.3772,0.656,42000,27000
"Saint Norbert College","nonprofit",2052,22222,1125,0.2097,0.663,43800,27000
"Silver Lake College of the Holy Family","nonprofit",296,17543,820,0.2834,0.523,37800,26212
"University of Wisconsin Colleges","public",11530,9186,970,0.3272,0.3461,33400,10184
"Viterbo University","nonprofit",2019,17149,1089,0.3521,0.7412,40200,27000
"University of Wisconsin-Whitewater","public",10533,13815,1050,0.3005,0.6329,41400,25000
"University of Wisconsin-Eau Claire","public",9987,14654,1110,0.2704,0.5869,42700,23304
"University of Wisconsin-Green Bay","public",5674,14042,1050,0.3122,0.551,38000,21065
"University of Wisconsin-La Crosse","public",9492,15169,1145,0.2219,0.5793,44700,23105
"Wisconsin Lutheran College","nonprofit",1060,18548,1079,0.3393,0.7692,38200,25000
"University of Wisconsin-Oshkosh","public",10337,14774,1030,0.2649,0.5353,40200,23982
"University of Wisconsin-Parkside","public",4274,11277,990,0.4366,0.6045,36600,22899
"University of Wisconsin-Stout","public",8094,15094,1050,0.3002,0.6317,42700,25000
"University of Wisconsin-Superior","public",2353,12027,1010,0.4123,0.6399,35000,23375
"University of Wisconsin-Madison","public",29302,18397,1286,0.1522,0.3617,51600,22805
"University of Wisconsin-Milwaukee","public",21577,16942,1010,0.3573,0.6305,41900,25000
"University of Wisconsin-Platteville","public",7888,14086,1090,0.2909,0.5974,44500,24000
"University of Wisconsin-River Falls","public",5381,13756,1050,0.3072,0.6214,40200,24124
"University of Wisconsin-Stevens Point","public",8880,13566,1050,0.3394,0.6503,39000,24922
"University of Wyoming","public",9910,11603,1118,0.237,0.3646,46100,18750
"University of the Virgin Islands","public",1971,11672,796,0.5161,0.3224,31800,15150
"Stanford University","nonprofit",7018,14559,1465,0.1556,0.1256,86000,12782
"Purdue University-Main Campus","public",29977,14797,1213,0.2017,0.3559,54300,22500
"Widener University-Delaware Law School","nonprofit",89,22705,1023,0.2772,0.5941,52900,28000
"California State University-San Marcos","public",11506,9736,948,0.4544,0.4107,45400,18000
"University of Washington-Bothell Campus","public",4378,11505,1206,0.3358,0.3989,53700,15797
"University of Washington-Tacoma Campus","public",3788,10087,1206,0.4804,0.503,53700,15797
"Eastern New Mexico University-Ruidoso Campus","public",468,7877,935,0.2034,0.038,29300,15750
"Watkins College of Art Design & Film","nonprofit",288,28764,1000,0.4077,0.5785,28300,29125
"Trine University-Regional/Non-Traditional Campuses","nonprofit",542,21420,1078,0.5868,0.7055,40500,26000
"Arkansas State University-Mountain Home","public",1240,5372,1088,0.648,0.4308,31700,19250
"Carolinas College of Health Sciences","public",483,14252,1013,0.2584,0.7105,47500,13500
"Florida Gulf Coast University","public",13253,13624,1059,0.3438,0.4578,41400,18750
"University of Connecticut-Tri-Campus","public",2272,8688,1228,0.3642,0.4758,54000,21500
"University of Connecticut-Avery Point","public",670,9862,1228,0.2801,0.4809,54000,21500
"University of Connecticut-Stamford","public",1336,8528,1228,0.3368,0.3844,54000,21500
"DigiPen Institute of Technology","forprofit",932,33096,1211,0.3053,0.6007,79400,31000
"Doane University-Graduate and Professional Studies","nonprofit",656,16539,1060,0.4415,0.6671,42900,22158.5
"Shorter University-College of Adult & Professional Programs","nonprofit",677,27639,951,0.6584,0.7831,43600,29000
"University of South Florida-St Petersburg","public",3829,11595,1161,0.4104,0.4631,41000,19500
"Averett University-Non-Traditional Programs","nonprofit",702,25180,923,0.3392,0.4937,42400,25000
"University of South Florida-Sarasota-Manatee","public",1690,6175,1161,0.4179,0.4603,41000,19500
"University of Minnesota-Rochester","public",479,18769,1268,0.2788,0.6687,48300,20500
"Azusa Pacific University College","nonprofit",1055,16691,1037,0.4601,0.7906,50000,22500
"Pennsylvania State University-World Campus","public",5736,22264,1089,0.3526,0.5641,47700,27000
